bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-18_T1w	0.45741083863254905	2.317549465661499	0.6555396271285514	1703.1997984378938	4.428553510762662	4.223690251751558	4.70662028053643	4.35535	0.1702104238855288	0.42238361464481833	0.40740596146965286	1.4386467933654785	0.7625094652175903	0.0	0.0011838759405535019	32.603759661938334	13.828925616081241	16.45260132214185	176	265	265	2.1770132112746836	10.314281670750264	7.619576932217107	10.367435914626375	17.001058705663016	42.42074607803346	39.383013652645865	58.72723617424113	0.9999999403953552	0.9999999403953552	1.0	2.0945643411644053	11.155580206124437	12.562146355027934	9.2540542781353	1026641.0	0.5621621757745743	36.021622493863106	12.096928542140532	-0.5629480593463589	146.72152472250445	319.17237078929827	289.4918989017606	9288.0	151.9135171920061	552.5816350020466	132.96947983313135	0.11283603499123229	67.70283159578969	727.7440817844875	722.3351526260376	22753.0	621.3189339637756	852.2551557719706	70.03098248667649	5.124214832323993	59.30409017623623	1025.6998281236322	1000.0000242143869	194164.0	926.5297521650791	1230.350300062448	96.45561904632079	0.17874310910701752	0.4482310712337494	0.4951155483722687	0.5178359495711758
sub-22_T1w	0.37411897377357856	2.6654077883711635	0.6540715513474437	1481.3999641751834	4.577363427441523	4.50177	4.736620282324569	4.4937	0.1784065905396034	0.4216992729603362	0.3998941365000604	1.2758389711380005	0.671751856803894	0.0	0.004372979349951283	38.442173130488456	16.94231676636921	20.81313157587628	176	291	291	2.450829492066242	10.622021414646595	7.747754385429471	10.170412249575577	28.227663575702294	65.8789575641199	63.42298592750671	96.16233664269792	1.0	0.9999999403953552	1.0	2.0791731061456744	6.813156826755477	10.350157298312268	5.494505316019058	253588.0	0.5994005799293518	34.265733152627945	11.505869647719212	-0.45637459897608235	131.3013810199724	315.51775650569	293.55643402040005	6829.0	163.73625841736794	535.5644181668758	119.76962934986213	0.4576074913917898	65.90988669361276	686.9277913612169	685.1148628592491	18007.0	586.7132676541805	791.8581161350012	64.49768949628543	10.566927319153333	51.913292777778146	1021.0779994367665	1000.049917563796	174957.0	923.326643332839	1201.2487122267485	98.32905835392445	0.17065086960792542	0.4438834488391876	0.48324882984161377	0.5335234237595268
sub-23_T1w	0.41749063029945577	2.7265871185206803	0.6575123300811319	2305.3815019926506	4.530803333333334	4.45278	4.66873	4.4709	0.16124683957120042	0.4033915687569938	0.4353615916718058	0.8925325274467468	0.4585956484079361	0.0	0.002548860053400445	37.09644702080321	15.805287284336623	17.692843154592314	176	278	278	2.522321305581685	12.255894904649262	9.371624489298869	13.336657257665664	17.721681280155824	40.8141476058137	38.00191836157164	55.4699261987454	1.0	1.0	1.0	2.406507170109302	11.810659268545551	13.218619471374362	9.785602193325758	828463.0	0.5900865644216537	38.10975728556514	12.794913280241879	0.3846786252585117	144.13378625873182	340.54369041642326	319.48270075395703	9309.0	174.07553650438786	556.8155169643462	126.65537086936197	0.1391523541269981	57.52228495606444	737.5878749918769	735.7887719534338	19923.0	641.5765345554798	840.8192630324512	60.0339927547781	5.768667482303199	52.78344018782086	1016.0914260918865	1000.0000311732292	235715.0	930.566512092948	1161.6837498247623	74.98115087200279	0.1766393780708313	0.43362316489219666	0.488901287317276	0.4863788858754331
sub-24_T1w	0.4421545699778932	2.2872083593123778	0.6439498596097334	1882.224852071006	4.125006666666667	3.96889	4.4482	3.95793	0.19389938153455175	0.3875504641881867	0.41855015427726155	0.9749788045883179	0.4306714445352553	0.0	0.0012120303858394253	32.167657012741934	16.025663421476658	18.32506529542569	176	266	266	2.4882808666666114	10.567812107168647	7.978027448804066	10.87798937257694	16.81284087781497	38.3213516904725	35.76056117045065	52.14749094306448	1.0	1.0	1.0	1.4056251176779204	12.563783993729555	13.262836471961377	10.209811478853226	1083948.0	0.6125886887311935	36.95951755344868	12.315104504319372	-0.6469148434109466	158.86375061950804	334.5341839631846	322.42584650218487	10088.0	160.56715267505496	555.2937791647389	129.57133166222917	0.5463408235420499	59.56444580159735	742.9625340081956	734.9022302478552	12792.0	639.9892702875659	873.5744422065094	69.53885034693299	6.349068679165436	57.67230965796338	1024.474613012519	1000.0510343536735	196946.0	931.9515917897224	1208.841679096222	91.93321129500315	0.16890791058540344	0.41228824853897095	0.4988032281398773	0.41940525380547644
sub-26_T1w	0.4312107886737423	2.18197201391275	0.6752291252533084	2144.0207270408164	4.729416759559716	4.50615	5.00664	4.675460278679149	0.16704356916678761	0.41116006366557245	0.42179636716763996	0.9944977760314941	0.52145015001297	0.0	0.001055208549933236	30.201926504867682	12.891979170871513	14.837556575849046	176	275	275	2.6347689280297915	11.797297881573364	7.726760689182793	8.748215257945224	18.177844213993914	36.96652637702814	35.58672576164276	51.61580669390622	1.0	1.0	0.9999999403953552	1.6582071470137656	12.692552937649467	13.644195402527869	10.36552070826292	1150002.0	0.5875193923711777	38.86021123826504	12.923155850617091	-0.040460653412520475	153.43056639335092	349.63559131374416	352.17591005563736	7863.0	151.16873965710403	563.1331410206855	133.65631843347532	0.03673560853735047	59.91631607331586	715.1768315926089	716.1861393004656	23487.0	614.2095590531826	814.9313628897071	60.706349868441215	5.945782706322683	62.46727034019639	1032.5374923983159	999.999971486628	244917.0	922.7411713898182	1280.4145843312144	114.30879333569828	0.14738261699676514	0.42211729288101196	0.4670899212360382	0.5250297390711806
sub-28_T1w	0.38945029365561046	2.732329573392792	0.6586087526857406	2534.8142440649726	4.424393333333334	4.23043	4.6694	4.37335	0.16390952637207035	0.4358930986107684	0.40019737501716124	1.2963018417358398	0.6521616935729979	0.0	0.0016628548537443641	37.22638839671805	15.341128215890574	18.9323314344716	176	293	293	2.1856328561403005	11.079753687636124	8.136382922356155	11.143762223292043	14.938956988845803	32.76052482840696	31.544137042294853	46.9329293096318	1.0	1.0	1.0	1.6106835185070905	13.959608958920564	14.850940016400168	11.360622450709343	1252725.0	0.6188665926456451	41.50826646387577	13.88367644870435	10.571836598840552	162.8621045207399	329.1845810589489	318.31845240294933	8067.0	146.2425963178277	553.2402109712363	145.6322919148761	0.4737167210829605	58.95149417159177	701.4048492867946	698.059414125979	29224.0	602.9595109768212	810.4433771125972	63.002074815703885	6.00500211208108	58.65657285555824	1020.0393368801259	1000.044208958745	212874.0	921.1829231530428	1195.7386665046215	89.74005726312458	0.15719789266586304	0.44525226950645447	0.478115051984787	0.5298391321223627
sub-30_T1w	0.42863351267686706	2.455278787289784	0.6267029478821436	3364.0	4.240153333333333	4.12486	4.45571	4.13989	0.18360758385601025	0.41346348490509394	0.4029289312388958	1.4535613059997559	0.7428202688694001	0.0	0.0015248215462600185	37.56761912754025	17.335200596554223	20.92470706765088	176	277	277	2.3070114739550367	9.988172028145604	8.037033412231075	11.815916734592586	17.184963532149574	37.79095497381798	35.721233088559096	52.18778075970972	1.0	1.0	1.0	734.5474392978529	12.55344359056504	13.6389903375029	10.269856631755829	1115209.0	0.6008958667516708	38.07494719326496	14.342210381274334	9.950469499629426	160.03615829004204	331.5865342936522	329.2909349799156	6755.0	148.89653309136628	548.8145831733941	142.72428374485182	0.17064269055782066	68.8414648514857	725.228157199535	724.1341463327408	14019.0	610.5593648269772	853.8784893438219	72.4965806504601	7.391929718704404	49.40387477577209	1018.2473861110199	999.9999760687351	168319.0	928.2202334403992	1188.46277064085	84.63135175849786	0.15253925323486328	0.42526859045028687	0.4696301221847534	0.46671595747393113
sub-31_T1w	0.5124553685507395	1.6908762455874233	0.6408795476811532	2311.4478697193676	4.822796666666666	4.6078	5.08514	4.77545	0.20012865387165962	0.4043257632369307	0.39554558289140973	0.9398706555366516	0.5371666550636292	0.0	0.0014561771050328428	28.613285298920427	14.306270584655742	17.668874359122924	176	261	261	2.422745004744599	10.847443339348391	6.907354755953222	7.451875923766677	16.198276786548465	38.45471181893748	35.441998724596694	51.67300756830413	1.0	1.0	1.0	1.4328408807253874	12.679172242695733	13.935391621748247	10.505199827253819	1033691.0	0.6862693354487419	39.32851191610098	13.160568957336883	-0.3913729902331262	147.8845429171209	334.03670102034346	313.4931114278734	10018.0	165.95576229617	561.8064729727804	129.38937607202067	1.2136771382773244	63.86546018543036	748.6640153629081	744.2326993197203	13911.0	643.1927371621132	869.6088279113173	68.6065762932272	9.749141322555747	67.2309194844175	1036.724347489072	1000.052791595459	167082.0	919.7064893990755	1303.2782579660416	134.20108025428902	0.1793002188205719	0.4376146197319031	0.4905203878879547	0.5004623147438776
sub-35_T1w	0.41143550016851654	2.62882512076126	0.6575219300660243	2045.7213443077337	4.64863676376105	4.43149	4.886920291283148	4.6275	0.17026385947033087	0.42524556571679156	0.4044905748128776	1.3779501914978027	0.7997286677360529	0.0	0.0036372641107222303	30.348639871939966	12.877172859662295	15.588389334739764	176	261	261	2.2858852811545933	10.347886244849557	7.896703127868695	11.056337857601937	16.92650459271286	37.48493728636983	35.95685006619436	53.4591083195004	1.0	0.9999999403953552	1.0	1.3631555912055502	12.255406111592556	13.175132230128979	10.179982520639896	922082.0	0.6515188813209534	37.01441644504666	12.18225881229991	9.29437665929312	156.12059214078005	330.61828938109153	316.63817632198334	9351.0	151.41706001199782	547.8459393307567	138.51143264607038	0.473904884164134	64.56727505590266	707.1221032260306	701.2175559867173	20958.0	606.3950907999649	827.1907676866277	67.7627111548353	6.120309725117185	58.37920054142858	1021.0335618634782	1000.0407628975809	196184.0	923.2022548317909	1199.2019409313798	90.44931758077877	0.17022749781608582	0.44592803716659546	0.4843178987503052	0.5708646569134304
sub-36_T1w	0.38109141532010193	2.5851309769368433	0.6457348686520993	1154.4150514107762	4.70809	4.53136	4.98203	4.61088	0.18213364733897797	0.40850034080821157	0.40936601185281046	1.1320877075195312	0.6203224509954453	0.0	0.0025046381572300935	28.696925906463477	13.210856253732079	15.85804878421855	176	267	267	2.9974060909063636	12.635939358583428	8.727859830750964	10.550234042763101	27.17735741642333	46.23786108416857	46.114593549761366	64.92856214869218	1.0	1.0	1.0	1.5751534660612592	10.09059755590832	13.943946948927582	7.481778133660555	728361.0	0.0	45.85605952888727	15.482691246154074	26.118962826618255	119.51275119409145	414.423678819493	418.5934191942215	5243.0	211.89361065253615	580.9238699264824	139.63856925986647	0.045422491340066706	55.89189142669785	709.7812184811538	712.1687392517924	17068.0	612.5573105709627	798.0402444116771	56.35891848229024	8.265197594592452	53.81652029817771	1023.3170389819961	1000.0482540205121	212821.0	927.2577932104468	1210.5517020262778	94.78897818367837	0.14937487244606018	0.4275132715702057	0.4742405116558075	0.526305093357043
